-85.6239929,44.7631915,"7 Monks Taproom","128 S. Union St","Traverse City",MI,"(231) 421-8410","Beer Bar",
-86.1082009,42.7900250,"8th St Grille","20 W. 8th Street",Holland,MI,"(616) 392-5888","Beer Bar",
-85.5814819335938,42.2917213439941,"Arie's London Grill - Singapore","214 E. Michigan Avenue",Kalamazoo,MI,"(269) 381-9212","Beer Bar",
-83.7409820556641,42.2783470153809,"Ashley's Restaurant and Pub - Ann Arbor","338 S. State St.","Ann Arbor",MI,"(734) 996-9191","Beer Bar","score: 89.2"
-83.385125,42.342004,"Ashley's Restaurant and Pub - Westland","7525 Wayne Rd.",Westland,MI,"(734) 525-1667","Beer Bar","score: 60.0"
-83.4334479,42.4337916,"Aubree's - Northville","20420 Haggerty Rd.",Northville,MI,734-432-0200,"Beer Bar",
-83.7494351,42.2437543,"Bagger Dave's - Ann Arbor","859 W Eisenhower Pkwy","Ann Arbor",MI,"(734) 994-3283","Beer Bar",
-83.1836011,42.4994079,"Bagger Dave's - Berkley","2972 Coolidge Highway",Berkley,MI,"(248) 543-3283","Beer Bar",
-83.4755757,42.4812219,"Bagger Dave's - Novi","26054 Novi Road",Novi,MI,"(248) 374-3289","Beer Bar",
-83.2456436157227,42.3057327270508,"Bailey's Pub and Grille","22091 Michigan Ave",Dearborn,MI,"(313) 277-3212","Beer Bar",
-85.6704864501953,42.9627151489258,"Bar Divani","15 Ionia St.","Grand Rapids",MI,,"Beer Bar",
-83.3755820,42.4648290,"Basement Burger Bar","33316 Grand River Avenue  ",Farmington,MI,"(248) 957-8179","Beer Bar",
-83.1901397705078,42.5029640197754,"Berkley Front","3087 W. 12 Mile Rd.",Berkley,MI,"(248) 547-3331","Beer Bar",
-83.2476348876953,42.305534362793,"Biergarten, The","22184 Michigan Avenue",Dearborn,MI,"(313) 561-7711","Beer Bar",
-85.849983215332,42.1684074401855,"Big T","155 N. Main Street",Lawton,MI,"(269) 624-1200","Beer Bar","score: 86.7"
-85.6337585449219,42.955638885498,"Billy's Lounge","1437 Wealthy St Se","Grand Rapids",MI,"(616) 459-5757","Beer Bar",
